ip_address,ip_type,service,region
2603:1020:a04:3::3c0/122,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::90/125,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::340/122,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::580/121,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:802::90/125,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:802::2c0/122,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:802::400/121,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:c02::90/125,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
2603:1020:a04:c02::400/121,IPv6,AzureContainerRegistry.SwitzerlandNorth,switzerlandn
20.208.18.0/26,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
20.208.148.192/26,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
20.208.151.0/25,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
20.208.151.128/26,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.103.202.0/26,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.107.7.186/32,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.107.7.191/32,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.107.10.143/32,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.107.52.224/27,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.107.58.64/26,IPv4,AzureCosmosDB.SwitzerlandNorth,switzerlandn
2603:1020:a04::6a0/123,IPv6,AzureCosmosDB.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::c0/122,IPv6,AzureCosmosDB.SwitzerlandNorth,switzerlandn
2603:1020:a04:802::c0/122,IPv6,AzureCosmosDB.SwitzerlandNorth,switzerlandn
2603:1020:a04:c02::c0/122,IPv6,AzureCosmosDB.SwitzerlandNorth,switzerlandn
51.107.59.160/28,IPv4,AzureDataExplorerManagement.SwitzerlandNorth,switzerlandn
51.107.247.128/28,IPv4,AzureDataExplorerManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04::600/121,IPv6,AzureDataExplorerManagement.SwitzerlandNorth,switzerlandn
2603:1020:a04:402::150/124,IPv6,AzureDataExplorerManagement.SwitzerlandNorth,switzerlandn
51.107.241.64/27,IPv4,AzureDigitalTwins.SwitzerlandNorth,switzerlandn
51.107.241.96/29,IPv4,AzureDigitalTwins.SwitzerlandNorth,switzerlandn
